"team","metric.type","forecast.week","season","metric","location","data.type","prediction.target"
"J","AE",44,"2005/2006",0.774929,"iquitos","train","peakinc"
"H","AE",44,"2005/2006",0,"iquitos","train","peakinc"
"P","AE",44,"2005/2006",8.8239,"iquitos","train","peakinc"
"A","AE",44,"2005/2006",28,"iquitos","train","peakinc"
"O","AE",44,"2005/2006",0.17942,"iquitos","train","peakinc"
"L","AE",44,"2005/2006",0,"iquitos","train","peakinc"
"I","AE",44,"2005/2006",2,"iquitos","train","peakinc"
"G","AE",44,"2005/2006",3.2375,"iquitos","train","peakinc"
"K","AE",44,"2005/2006",37,"iquitos","train","peakinc"
"N","AE",44,"2005/2006",111,"iquitos","train","peakinc"
"F","AE",44,"2005/2006",0,"iquitos","train","peakinc"
"M","AE",44,"2005/2006",8,"iquitos","train","peakinc"
"E","AE",44,"2005/2006",0,"iquitos","train","peakinc"
"baseline","LS",48,"2005/2006",-0.0842516,"iquitos","train","peakinc"
"B","LS",48,"2005/2006",-0.353916,"iquitos","train","peakinc"
"C","LS",48,"2005/2006",-0.00796025,"iquitos","train","peakinc"
